$ R_L $(ohm),820,330,100,inf
$ V_\mathrm{cP-P}(\SI{}{\V}) $,\SI{23.6}{\V},\SI{22.4}{\V},\SI{15.6}{\V},\SI{23.8}{\V}
$ V_\mathrm{e} $ 波形,图\ref{fig:820欧姆},图\ref{fig:330欧姆},图\ref{fig:100欧姆},图\ref{fig:无穷大欧姆}
