$ I_{e1} $(mA),2.093,1.867,1.629,1.401,1.259,1.085
$ V_\mathrm{pp} $(mV),448,408,364,320,300,256
$ I_\mathrm{e1}' $(mA),1.8,1.6,1.4,1.2,1.085,0.938

